"Story","Title","Result","Date","Stability","Duration (s)"
"Automation Suite for PetStore API Testing","Adding Pet to the Store","SUCCESS","2021-03-16T18:13:18.823Z[Europe/London]","0.0","9.97"
"Automation Suite for PetStore API Testing","Place the Order","SUCCESS","2021-03-16T18:13:28.811Z[Europe/London]","0.0","2.05"
"Automation Suite for PetStore API Testing","Create User Operations","SUCCESS","2021-03-16T18:13:30.867Z[Europe/London]","0.0","3.08"
